Chain;WEEK;QUARTER;DOVESales;FASales;NIVEASales;REXONASales;SANEXSales;VOGUESales;@8X4Sales;AXESales;DOVEPrice;FAPrice;NIVEAPrice;REXONAPrice;SANEXPrice;VOGUEPrice;@8X4Price;AXEPrice;DOVERPrice;FARPrice;NIVEARPrice;REXONARPrice;SANEXRPrice;VOGUERPrice;@8X4RPrice;AXERPrice;FADISP;NIVEADISP;REXONADISP;SANEXDISP;VOGUEDISP;@8X4DISP;DOVEDISP;AXEDISP;FAFEAT;NIVEAFEAT;REXONAFEAT;SANEXFEAT;VOGUEFEAT;@8X4FEAT;DOVEFEAT;AXEFEAT;FADF;NIVEADF;REXONADF;SANEXDF;VOGUEDF;@8X4DF;DOVEDF;AXEDF
ALBERT HEIJN;W05004;1,00;44,34;25,8;26,17;78,57;368,74;28,09;44,36;92,98;1,975642760487;1,714285714286;3,215896064196;2,010182003309;1,402180398112;1,971520113920;1,289449954914;2,675198967520;1,984382177308;1,714285714286;3,269092363055;2,011550308008;0,000000000000;1,97;1,29;2,714334862385;0,00;0,01;0,26;0;0,00;0;0,01;0,00;0,01;0,00;0,19;0,18;0;0;0,03;0,00;0,01;0,00;0,01;0,26;0;0;0,04;0,00
ALBERT HEIJN;W05005;1,00;50,58;30,6;32,83;82,90;179,03;30,97;35,40;89,47;2,114669829972;1,514686684073;2,577825159915;2,133655006031;1,414511534380;1,986438488860;1,289265536723;2,867888677769;2,119402985075;1,620553359684;2,667142857143;2,135220125786;1,412921348315;1,99;1,29;2,871398138805;0,00;0,00;0,14;0,3;0,00;0;0,05;0,01;0,00;0,00;0,03;0,01;0,04;0;0,01;0,01;0,00;0,00;0,03;0,03;0;0;0,03;0,02
ALBERT HEIJN;W05006;1,00;46,92;165,7;33,05;78,63;53,38;34,38;38,41;90,54;2,102941176471;1,278542119237;2,568532526475;2,105939208953;1,986137130011;1,989819662595;1,289768289508;2,856527501657;2,102941176471;0,000000000000;2,676369863014;2,107106469689;1,990197926484;1,99;1,29;2,862612362668;0,01;0,00;0,08;0;0,01;0;0,04;0,02;0,09;0,00;0,01;0;0,04;0;0,03;0,02;0,31;0,00;0;0;0;0;0,06;0,06
ALBERT HEIJN;W05007;1,00;44,45;76,2;33,47;79,73;47,70;29,17;33,69;87,37;2,116310461192;1,305500853354;2,546160740962;2,176470588235;1,989937106918;1,990401097017;1,289700207777;2,852123154401;2,116310461192;1,407407407407;2,576384256171;2,176470588235;1,989937106918;1,99;1,29;2,852123154401;0,29;0,00;0,09;0;0,01;0;0,07;0,08;0,07;0,00;0,01;0;0,08;0;0,01;0,00;0,09;0,00;0;0;0,05;0;0;0,00
ALBERT HEIJN;W05008;1,00;195,78;28,1;32,15;131,26;48,86;30,37;39,46;92,89;1,778731228930;1,507127583749;2,563919129082;2,196251714155;1,990176013099;1,988804741521;1,289913836797;2,903434169448;1,989839781165;1,530369442705;2,583444148936;2,002916727432;1,990176013099;1,99;1,29;2,903434169448;0,08;0,00;0,35;0,01;0,00;0;0,03;0,03;0,00;0,00;0;0;0,04;0;0,04;0,00;0,00;0,00;0;0;0;0;0,28;0,00
ALBERT HEIJN;W05009;1,00;60,71;26,5;28,37;122,44;47,42;31,63;34,09;85,62;1,900016471751;1,523198792908;2,558688755728;2,189807252532;1,989666807254;1,989566866899;1,282780874157;2,889628591451;1,975409836066;1,523198792908;2,580152671756;1,990123843863;1,989666807254;1,99;1,29;2,889628591451;0,04;0,00;0,36;0;0,00;0;0,11;0,03;0,00;0,00;0,01;0;0;0;0,02;0,05;0,00;0,00;0,01;0;0;0;0,02;0,03
ALBERT HEIJN;W05010;1,00;47,42;29,4;30,78;81,41;54,81;29,87;23,70;95,54;2,123998312948;1,483684568321;2,584795321637;2,214961306965;1,990147783251;1,989621694007;1,288185654008;2,884655641616;2,123998312948;1,509148486981;2,584795321637;2,214961306965;1,990147783251;1,99;1,29;2,884655641616;0,03;0,00;0,04;0;0,01;0;0,01;0,03;0,00;0,01;0,08;0;0;0;0,02;0,01;0,03;0,01;0,07;0;0;0;0,07;0,03
ALBERT HEIJN;W05011;1,00;49,27;34,9;37,77;86,36;57,35;36,16;17,64;92,61;2,151207631419;1,489099254159;2,570029123643;2,172765169060;1,989886660854;1,998617256637;1,282312925170;2,856279019544;2,151008762992;1,526038437694;2,574128293851;2,175522597221;1,989886660854;2,00;1,28;2,856279019544;0,03;0,00;0,03;0;0,02;0;0,01;0,01;0,00;0,01;0,08;0,11;0;0;0,03;0,00;0,00;0,03;0,06;0,01;0;0;0,03;0,00
ALBERT HEIJN;W05012;1,00;56,67;55,7;41,63;103,20;60,24;37,90;41,96;105,87;2,103582142227;1,504575632514;2,524621667067;2,148449612403;1,990039840637;1,988126649077;2,029313632031;2,874752054406;2,103582142227;1,621748823384;2,608916177256;2,148449612403;1,990039840637;1,99;2,12;2,874752054406;0,01;0,00;0,02;0,01;0,02;0;0,01;0,01;0,00;0,00;0;0;0;0;0;0,00;0,00;0,00;0;0;0;0;0;0,00
ALBERT HEIJN;W05013;1,00;52,00;40,8;114,70;104,19;61,19;33,62;33,06;95,70;2,087884615385;1,569539666993;1,933304272014;2,123236395048;1,968132047720;1,970255800119;2,170901391410;2,844932079415;2,095790115924;1,691724573594;2,435924369748;2,124734231042;1,975056296553;1,98;2,19;2,857044752203;0,02;0,31;0,03;0;0,01;0;0,02;0,01;0,02;0,00;0,01;0;0,02;0;0,04;0,00;0,02;0,00;0,03;0;0,01;0;0,06;0,00
